State,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
California,   Educational services,Millions of current dollars,7973.9,8220.9,9053.6,9858.6,10750.9,11601.9,12956.3,14436,14857.5,16136.1,16981.4,19081,21486.9,23123.2,24294.3,25499.8,26127.8,27818.2,28734.7,30318.6,31155,33074,35199.3
California,   Health care and social assistance,Millions of current dollars,53639.7,56232.6,59486,63337.9,68150.9,75509.6,80792.1,86788.6,90698.7,96634.3,101745.4,112270.3,119486.8,124537.6,130491.1,137218.3,142131.5,146799.4,157008.6,167223.1,175270.5,184440.4,195374.3
California,    Ambulatory health care services,Millions of current dollars,29560.6,30143.3,31510,33545.7,35288.1,38879.5,39550.8,42140.5,44387.4,47088.7,49726,54733,56853.9,64715.5,68639.4,71287.1,73597.4,76013.8,81320.6,87055,91538.9,96520.7,102719.8
California,    Hospitals,Millions of current dollars,14653.3,15945.7,16989.9,17620.5,19720.6,22338.5,25926.8,28990.8,30389,32710.3,34297.9,37913.8,41736.4,37581,38414.7,39431.7,40259.2,41001,43814.3,45277.1,46886,48853.1,50577.4
California,    Nursing and residential care facilities,Millions of current dollars,4664.1,4915.7,5226.2,5788.9,6563.3,7264.6,7706.7,7936.1,7818.8,8294.7,8676.4,9519.8,10033.9,10513.7,11117.2,11450.2,11835.9,12504,13340.7,14257,14803.7,15606.6,16187.2
California,    Social assistance,Millions of current dollars,4761.9,5227.9,5760,6382.9,6579,7027.1,7607.8,7721.2,8103.5,8540.7,9045.1,10103.8,10862.7,11727.5,12319.7,15049.3,16439,17280.6,18532.9,20634,22041.9,23460,25889.9
California,"  Arts, entertainment, recreation, accommodation, and food services",Millions of current dollars,40628.3,44296.4,48629,53781.7,55399.6,59927.5,64807.5,69455.9,70621.7,75141.6,76345.3,78040.4,75217.4,77398.5,81866.5,87278.9,91175.7,100621.1,109776.2,118277.3,124172.2,130473.1,140750.4
California,"   Arts, entertainment, and recreation",Millions of current dollars,13426.2,14320.6,15928.1,17780.6,17791.7,19519,22777.7,24085.2,25021.5,26163.7,26439.3,27526.8,26977.8,28121.6,29854.8,32638.4,32970.7,35387.9,35569.9,37835.4,39230.8,42283.3,45552.6
California,"    Performing arts, spectator sports, museums, and related activities",Millions of current dollars,8842.6,9889.9,10926.8,12182.6,12877.3,14329.9,17192.3,17868.2,18101.6,18983.6,18482,19601.4,19603.7,20448.7,22058,23871.7,23476.6,25290.4,24881.5,26527,27461.3,29678.7,31663.7
California,"    Amusement, gambling, and recreation industries",Millions of current dollars,4583.7,4430.7,5001.3,5598,4914.4,5189.1,5585.4,6217,6919.8,7180.1,7957.3,7925.4,7374.1,7672.9,7796.9,8766.7,9494.1,10097.6,10688.4,11308.4,11769.5,12604.6,13888.9
