state_name,year,population,land_area_sqkm,pop_density
Massachusetts,2001,6400468.384,20202,316.8235018315018
Massachusetts,2002,6434108.527000001,20202,318.4886905751906
Massachusetts,2003,6424242.424,20202,318.000317988318
Massachusetts,2004,6426356.589,20202,318.10496926046926
Massachusetts,2005,6393939.394,20202,316.5003165033165
Massachusetts,2006,6436974.79,20202,318.63057073557076
Massachusetts,2007,6443548.387,20202,318.95596411246413
Massachusetts,2008,6445378.151,20202,319.0465375210375
Massachusetts,2009,6518518.518999999,20202,322.66698935748934
Massachusetts,2010,6558558.558999999,20202,324.64897331947327
Massachusetts,2011,6615384.615,20202,327.46186590436594
Massachusetts,2012,6648936.17,20202,329.12266953766954
Massachusetts,2013,6717171.717,20202,332.5003324918325
Massachusetts,2014,6760416.667,20202,334.6409596574597
Massachusetts,2015,6806122.449,20202,336.9033981288981
Massachusetts,2016,6819148.936000001,20202,337.5482098802099
Massachusetts,2017,6882978.723,20202,340.7077874962875
Massachusetts,2018,6892473.118,20202,341.1777605187605
Massachusetts,2019,6880434.783,20202,340.5818623403623
Michigan,1997,9790816.327,146435,66.86117613275515
Michigan,1998,9850515.464000002,146435,67.26885965786869
Michigan,1999,9895574.341,146435,67.5765653088401
Michigan,2000,9953964.194,146435,67.97530777478062
Michigan,2001,9992092.778,146435,68.235686673268
Michigan,2002,9989417.989,146435,68.21742062348483
Michigan,2003,10059139.780000001,146435,68.69354853689352
Michigan,2004,10047872.34,146435,68.61660354423464
Michigan,2005,10058201.06,146435,68.68713804759791
Michigan,2006,10016759.78,146435,68.40413685252842
Michigan,2007,10000000,146435,68.28968484310445
Michigan,2008,9971590.909,146435,68.09568005599755
Michigan,2009,9927710.843,146435,67.79602446819408
Michigan,2010,9852941.175999999,146435,67.28542476866869
Michigan,2011,9908536.585,146435,67.66508406460204
Michigan,2012,9898089.172,146435,67.59373901048247
Michigan,2013,9939393.939000001,146435,67.87580796257726
Michigan,2014,9939393.939000001,146435,67.87580796257726
Michigan,2015,9909638.554000001,146435,67.67260937617374
Michigan,2016,9967741.934999999,146435,68.0693955338546
Michigan,2017,9980769.231,146435,68.1583585276744
Michigan,2018,9981707.317,146435,68.16476468740396
Michigan,2019,10012578.62,146435,68.37558384266056
Minnesota,1997,4751295.337,206232,23.038594093060244
Minnesota,1998,4806282.723,206232,23.305222870359596
Minnesota,1999,4873157.8950000005,206232,23.62949442860468
Minnesota,2000,4932126.697000001,206232,23.91542872590093
Minnesota,2001,4981627.297,206232,24.155452582528415
Minnesota,2002,5015463.918,206232,24.319523245665074
Minnesota,2003,5044554.455,206232,24.460580584002482
Minnesota,2004,5090909.091,206232,24.685349950541138
Minnesota,2005,5115577.8889999995,206232,24.80496668315295
Minnesota,2006,5161458.333,206232,25.027436736296984
Minnesota,2007,5212435.233,206232,25.274619035843127
